WARD,MTEA,Other,total_votes,per_MTEA,per_Other,sway
228,16,19,35,0.45714285714285713,0.5428571428571428,-8.57142857142857
229,11,13,24,0.4583333333333333,0.5416666666666666,-8.333333333333332
230,54,35,89,0.6067415730337079,0.39325842696629215,21.348314606741575
231,18,9,27,0.6666666666666666,0.3333333333333333,33.33333333333333
232,12,4,16,0.75,0.25,50
233,17,5,22,0.7727272727272727,0.22727272727272727,54.54545454545454
234,54,21,75,0.72,0.28,43.99999999999999
235,207,154,361,0.5734072022160664,0.4265927977839335,14.681440443213296
236,32,16,48,0.6666666666666666,0.3333333333333333,33.33333333333333
237,32,29,61,0.5245901639344263,0.47540983606557374,4.918032786885251
238,28,15,43,0.6511627906976745,0.3488372093023256,30.232558139534888
239,33,28,61,0.5409836065573771,0.45901639344262296,8.196721311475413
240,94,47,141,0.6666666666666666,0.3333333333333333,33.33333333333333
241,481,223,704,0.6832386363636364,0.31676136363636365,36.64772727272727
242,440,175,615,0.7154471544715447,0.2845528455284553,43.08943089430895
243,709,304,1013,0.6999012833168805,0.30009871668311944,39.98025666337611
244,575,198,773,0.7438551099611902,0.25614489003880986,48.77102199223803
245,493,183,676,0.7292899408284024,0.27071005917159763,45.857988165680474
246,733,310,1043,0.7027804410354745,0.2972195589645254,40.556088207094916
247,375,134,509,0.7367387033398821,0.2632612966601179,47.347740667976424
248,684,263,947,0.7222808870116156,0.27771911298838436,44.45617740232313
249,71,46,117,0.6068376068376068,0.39316239316239315,21.367521367521363
250,31,24,55,0.5636363636363636,0.43636363636363634,12.727272727272727
251,32,5,37,0.8648648648648649,0.13513513513513514,72.97297297297298
252,35,30,65,0.5384615384615384,0.46153846153846156,7.692307692307687
253,15,9,24,0.625,0.375,25
254,7,8,15,0.4666666666666667,0.5333333333333333,-6.666666666666665
255,15,15,30,0.5,0.5,0
256,11,13,24,0.4583333333333333,0.5416666666666666,-8.333333333333332
257,34,33,67,0.5074626865671642,0.4925373134328358,1.4925373134328401
258,73,53,126,0.5793650793650794,0.42063492063492064,15.873015873015877
259,57,30,87,0.6551724137931034,0.3448275862068966,31.034482758620683
260,45,42,87,0.5172413793103449,0.4827586206896552,3.448275862068967
261,98,66,164,0.5975609756097561,0.4024390243902439,19.512195121951216
262,185,129,314,0.589171974522293,0.410828025477707,17.834394904458595
263,73,71,144,0.5069444444444444,0.4930555555555556,1.388888888888884
264,171,174,345,0.4956521739130435,0.5043478260869565,-0.8695652173912993
265,82,77,159,0.5157232704402516,0.48427672955974843,3.1446540880503138
266,101,95,196,0.5153061224489796,0.4846938775510204,3.061224489795916
267,90,63,153,0.5882352941176471,0.4117647058823529,17.647058823529417
268,168,146,314,0.535031847133758,0.46496815286624205,7.006369426751591
269,118,104,222,0.5315315315315315,0.46846846846846846,6.3063063063063085
270,134,116,250,0.536,0.464,7.200000000000001
271,223,193,416,0.5360576923076923,0.4639423076923077,7.211538461538458
272,150,123,273,0.5494505494505495,0.45054945054945056,9.890109890109894
273,85,87,172,0.4941860465116279,0.5058139534883721,-1.1627906976744207
274,99,87,186,0.532258064516129,0.46774193548387094,6.451612903225806
275,143,163,306,0.4673202614379085,0.5326797385620915,-6.5359477124183
276,240,167,407,0.5896805896805897,0.4103194103194103,17.936117936117935
277,184,153,337,0.5459940652818991,0.4540059347181009,9.198813056379818
278,111,86,197,0.5634517766497462,0.4365482233502538,12.690355329949243
279,136,133,269,0.5055762081784386,0.4944237918215613,1.1152416356877304
280,266,252,518,0.5135135135135135,0.4864864864864865,2.7027027027026973
281,113,84,197,0.5736040609137056,0.4263959390862944,14.720812182741122
282,23,24,47,0.48936170212765956,0.5106382978723404,-2.1276595744680824
283,72,70,142,0.5070422535211268,0.49295774647887325,1.4084507042253502
284,61,51,112,0.5446428571428571,0.45535714285714285,8.928571428571425
285,17,18,35,0.4857142857142857,0.5142857142857142,-2.8571428571428523
286,121,75,196,0.6173469387755102,0.3826530612244898,23.46938775510204
287,137,98,235,0.5829787234042553,0.41702127659574467,16.59574468085106
288,328,174,502,0.6533864541832669,0.3466135458167331,30.67729083665338
289,181,90,271,0.6678966789667896,0.33210332103321033,33.57933579335793
290,82,53,135,0.6074074074074074,0.3925925925925926,21.48148148148148
291,99,73,172,0.5755813953488372,0.42441860465116277,15.116279069767447
292,219,104,323,0.6780185758513931,0.3219814241486068,35.60371517027863
293,398,195,593,0.6711635750421585,0.3288364249578415,34.232715008431704
294,295,142,437,0.6750572082379863,0.32494279176201374,35.01144164759726
295,374,159,533,0.701688555347092,0.29831144465290804,40.33771106941839
296,487,254,741,0.6572199730094467,0.3427800269905533,31.443994601889337
297,513,201,714,0.7184873949579832,0.2815126050420168,43.69747899159664
298,443,171,614,0.7214983713355049,0.2785016286644951,44.299674267100976
299,414,200,614,0.6742671009771987,0.3257328990228013,34.85342019543974
300,842,333,1175,0.7165957446808511,0.2834042553191489,43.319148936170215
301,520,291,811,0.6411837237977805,0.3588162762022195,28.236744759556103
302,285,193,478,0.5962343096234309,0.40376569037656906,19.246861924686186
303,548,292,840,0.6523809523809524,0.3476190476190476,30.476190476190478
304,276,169,445,0.6202247191011236,0.3797752808988764,24.044943820224724
305,300,220,520,0.5769230769230769,0.4230769230769231,15.38461538461538
306,266,175,441,0.6031746031746031,0.3968253968253968,20.634920634920633
307,234,142,376,0.6223404255319149,0.3776595744680851,24.46808510638298
308,134,95,229,0.5851528384279476,0.4148471615720524,17.03056768558952
309,386,243,629,0.6136724960254372,0.3863275039745628,22.734499205087438
310,52,38,90,0.5777777777777777,0.4222222222222222,15.55555555555555
311,201,130,331,0.6072507552870091,0.39274924471299094,21.45015105740182
312,399,231,630,0.6333333333333333,0.36666666666666664,26.666666666666668
313,548,375,923,0.5937161430119177,0.40628385698808234,18.74322860238353
314,259,151,410,0.6317073170731707,0.36829268292682926,26.34146341463415
315,411,274,685,0.6,0.4,19.999999999999996
316,228,185,413,0.5520581113801453,0.44794188861985473,10.411622276029053
317,305,212,517,0.5899419729206963,0.41005802707930367,17.98839458413926
318,0,0,0,NaN,NaN,NaN
319,0,0,0,NaN,NaN,NaN
320,7,2,9,0.7777777777777778,0.2222222222222222,55.55555555555556
321,10,11,21,0.47619047619047616,0.5238095238095238,-4.761904761904767
322,9,8,17,0.5294117647058824,0.47058823529411764,5.882352941176472
323,15,13,28,0.5357142857142857,0.4642857142857143,7.14285714285714
324,2,11,13,0.15384615384615385,0.8461538461538461,-69.23076923076923
325,182,72,254,0.7165354330708661,0.28346456692913385,43.30708661417322
326,0,0,0,NaN,NaN,NaN
327,0,0,0,NaN,NaN,NaN
