WARD,winner,votes,percent
158,jason_fields,56,0.5957446808510638
159,jason_fields,50,0.5263157894736842
160,jason_fields,69,0.5847457627118644
161,jason_fields,21,0.5526315789473685
162,jason_fields,31,0.6078431372549019
163,jason_fields,59,0.5363636363636364
164,jason_fields,95,0.5
165,jason_fields,53,0.3706293706293706
166,aycha_sawa,31,0.4696969696969697
167,aycha_sawa,119,0.4131944444444444
168,aycha_sawa,236,0.4020442930153322
169,jason_fields,30,0.5172413793103449
170,jason_fields,31,0.543859649122807
171,jason_fields,16,0.8421052631578947
172,jason_fields,70,0.6194690265486725
173,jason_fields,78,0.7222222222222222
174,jason_fields,135,0.703125
175,jason_fields,85,0.5151515151515151
176,jason_fields,75,0.635593220338983
177,aycha_sawa,222,0.43529411764705883
178,aycha_sawa,160,0.4050632911392405
179,aycha_sawa,176,0.4
180,aycha_sawa,137,0.4506578947368421
181,aycha_sawa,268,0.4944649446494465
182,aycha_sawa,170,0.425
183,aycha_sawa,202,0.43628509719222464
184,aycha_sawa,152,0.40105540897097625
185,aycha_sawa,183,0.4346793349168646
186,aycha_sawa,210,0.49528301886792453
187,jason_fields,48,0.36363636363636365
187,aycha_sawa,48,0.36363636363636365
188,aycha_sawa,46,0.46464646464646464
189,jason_fields,74,0.45121951219512196
190,aycha_sawa,66,0.4024390243902439
191,aycha_sawa,33,0.5076923076923077
192,aycha_sawa,27,0.54
193,jason_fields,62,0.5166666666666667
194,jason_fields,35,0.4069767441860465
195,jason_fields,44,0.5116279069767442
196,jason_fields,54,0.5294117647058824
197,jason_fields,35,0.5147058823529411
198,jason_fields,52,0.4262295081967213
199,jason_fields,98,0.532608695652174
200,jason_fields,36,0.48
201,jason_fields,30,0.4411764705882353
202,alex_brower,94,0.3949579831932773
203,aycha_sawa,157,0.4373259052924791
204,aycha_sawa,111,0.41729323308270677
205,aycha_sawa,122,0.5126050420168067
206,aycha_sawa,140,0.5343511450381679
207,jason_fields,59,0.3710691823899371
208,aycha_sawa,87,0.44387755102040816
209,jason_fields,76,0.39790575916230364
210,aycha_sawa,64,0.41025641025641024
211,aycha_sawa,57,0.38
212,jason_fields,64,0.44755244755244755
213,aycha_sawa,68,0.35978835978835977
214,aycha_sawa,46,0.3770491803278688
215,alex_brower,25,0.43859649122807015
216,jason_fields,25,0.49019607843137253
217,jason_fields,36,0.3364485981308411
218,jason_fields,58,0.3741935483870968
219,alex_brower,41,0.43157894736842106
220,aycha_sawa,36,0.36
221,jason_fields,103,0.4153225806451613
222,jason_fields,37,0.43529411764705883
223,jason_fields,36,0.33962264150943394
223,aycha_sawa,36,0.33962264150943394
224,alex_brower,19,0.40425531914893614
225,alex_brower,18,0.34615384615384615
226,aycha_sawa,14,0.3888888888888889
227,jason_fields,50,0.390625
228,jason_fields,15,0.375
229,alex_brower,12,0.46153846153846156
230,jason_fields,37,0.46835443037974683
231,aycha_sawa,10,0.45454545454545453
232,alex_brower,7,0.4117647058823529
233,alex_brower,9,0.5625
234,aycha_sawa,31,0.43661971830985913
235,aycha_sawa,143,0.42058823529411765
236,alex_brower,29,0.46774193548387094
237,aycha_sawa,30,0.4411764705882353
238,alex_brower,17,0.4473684210526316
239,aycha_sawa,28,0.4444444444444444
240,jason_fields,32,0.3764705882352941
241,aycha_sawa,137,0.38920454545454547
242,alex_brower,123,0.43309859154929575
243,aycha_sawa,208,0.4369747899159664
244,aycha_sawa,136,0.38968481375358166
244,alex_brower,136,0.38968481375358166
245,aycha_sawa,123,0.4006514657980456
246,aycha_sawa,198,0.4024390243902439
247,alex_brower,91,0.4099099099099099
248,alex_brower,171,0.39400921658986177
249,jason_fields,23,0.45098039215686275
250,aycha_sawa,21,0.42857142857142855
251,alex_brower,15,0.35714285714285715
252,alex_brower,23,0.39655172413793105
253,alex_brower,9,0.42857142857142855
254,alex_brower,6,0.375
255,jason_fields,12,0.4
256,jason_fields,11,0.4074074074074074
257,aycha_sawa,30,0.3488372093023256
258,alex_brower,54,0.3698630136986301
259,jason_fields,38,0.3877551020408163
260,jason_fields,31,0.3924050632911392
261,aycha_sawa,54,0.40298507462686567
262,aycha_sawa,112,0.42424242424242425
263,aycha_sawa,49,0.392
264,aycha_sawa,131,0.4746376811594203
265,alex_brower,51,0.3493150684931507
266,jason_fields,63,0.4064516129032258
267,jason_fields,46,0.3458646616541353
267,aycha_sawa,46,0.3458646616541353
268,aycha_sawa,105,0.3547297297297297
269,jason_fields,87,0.39908256880733944
270,aycha_sawa,72,0.37305699481865284
271,alex_brower,115,0.34124629080118696
272,aycha_sawa,97,0.4330357142857143
273,aycha_sawa,50,0.3875968992248062
274,jason_fields,47,0.3949579831932773
275,aycha_sawa,88,0.350597609561753
276,aycha_sawa,161,0.42819148936170215
277,jason_fields,96,0.3516483516483517
278,jason_fields,54,0.39416058394160586
279,jason_fields,87,0.39545454545454545
280,aycha_sawa,166,0.3789954337899543
281,aycha_sawa,59,0.34104046242774566
281,alex_brower,59,0.34104046242774566
282,jason_fields,22,0.55
283,jason_fields,45,0.4090909090909091
284,alex_brower,43,0.4215686274509804
285,aycha_sawa,8,0.34782608695652173
285,alex_brower,8,0.34782608695652173
286,jason_fields,34,0.37777777777777777
287,aycha_sawa,54,0.5
288,aycha_sawa,76,0.35023041474654376
289,jason_fields,51,0.35664335664335667
290,aycha_sawa,27,0.39705882352941174
291,aycha_sawa,33,0.3707865168539326
292,jason_fields,61,0.37888198757763975
293,aycha_sawa,85,0.35864978902953587
294,aycha_sawa,75,0.3605769230769231
295,aycha_sawa,105,0.4375
296,aycha_sawa,123,0.3738601823708207
297,aycha_sawa,140,0.4069767441860465
298,aycha_sawa,96,0.37209302325581395
299,aycha_sawa,116,0.3815789473684211
300,aycha_sawa,237,0.44548872180451127
301,aycha_sawa,152,0.39276485788113696
302,aycha_sawa,84,0.3620689655172414
303,aycha_sawa,148,0.38046272493573263
304,alex_brower,75,0.35714285714285715
305,jason_fields,83,0.3915094339622642
306,jason_fields,84,0.42
307,jason_fields,66,0.3707865168539326
308,aycha_sawa,41,0.3942307692307692
309,aycha_sawa,124,0.484375
310,jason_fields,18,0.4090909090909091
311,aycha_sawa,53,0.38405797101449274
312,aycha_sawa,116,0.45849802371541504
313,alex_brower,144,0.36
314,aycha_sawa,81,0.49390243902439024
315,alex_brower,104,0.3674911660777385
316,jason_fields,67,0.3785310734463277
317,aycha_sawa,95,0.38461538461538464
318,jason_fields,0,0
318,aycha_sawa,0,0
318,alex_brower,0,0
318,write_in,0,0
319,jason_fields,0,0
319,aycha_sawa,0,0
319,alex_brower,0,0
319,write_in,0,0
320,alex_brower,3,0.6
321,alex_brower,10,0.4
322,alex_brower,7,0.3684210526315789
323,alex_brower,13,0.48148148148148145
324,aycha_sawa,6,0.6
325,alex_brower,42,0.42
326,jason_fields,0,0
326,aycha_sawa,0,0
326,alex_brower,0,0
326,write_in,0,0
327,jason_fields,0,0
327,aycha_sawa,0,0
327,alex_brower,0,0
327,write_in,0,0
